season,avg_ht_goals_scored,avg_ht_goals_conceded,avg_ft_goals_scored,avg_ft_goals_conceded,avg_second_half_goals_scored,avg_second_half_goals_conceded
2023-2024,0.5870,0.6304,1.2826,1.4130,0.6957,0.7826
2024-2025,0.6522,0.5000,1.1087,1.2174,0.4565,0.7174
